county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Lake,5/16/20,0,0,0,110,0,0,2
Santa Barbara,5/16/20,27,7,34,717,12,3,63
Tuolumne,5/16/20,0,0,0,151,0,0,6
San Francisco,5/16/20,44,30,74,2619,20,4,106
Riverside,5/16/20,183,83,266,3957,68,17,194
Imperial,5/16/20,60,1,61,260,18,0,8
Contra Costa,5/16/20,16,34,50,1628,9,8,105
Ventura,5/16/20,27,23,50,1333,13,8,47
Mono,5/16/20,0,0,0,17,0,0,2
Alameda,5/16/20,81,64,145,2446,40,10,114
Marin,5/16/20,1,10,11,390,0,0,15
Santa Clara,5/16/20,51,39,90,3318,22,6,177
Glenn,5/16/20,0,0,0,,0,0,
Sacramento,5/16/20,12,34,46,2370,5,7,100
Orange,5/16/20,251,74,325,7007,103,18,345
Plumas,5/16/20,0,0,0,45,0,0,
San Diego,5/16/20,319,51,370,6144,138,15,326
Butte,5/16/20,2,1,3,448,1,0,20
Kern,5/16/20,36,15,51,1713,18,1,77
Solano,5/16/20,14,26,40,707,9,1,46
Placer,5/16/20,3,25,28,753,0,7,38
San Mateo,5/16/20,31,23,54,1096,9,5,43
Modoc,5/16/20,0,0,0,41,0,0,
Humboldt,5/16/20,3,4,7,352,1,0,5
Santa Cruz,5/16/20,1,0,1,397,0,0,15
Fresno,5/16/20,58,39,97,2139,16,4,85
San Joaquin,5/16/20,11,19,30,1366,2,10,21
San Bernardino,5/16/20,122,79,201,4821,54,13,145
Los Angeles,5/16/20,1570,516,2086,23918,483,80,1207
Shasta,5/16/20,0,0,0,667,0,0,7
Merced,5/17/20,6,3,9,242,5,0,4
Mono,5/17/20,0,0,0,17,0,0,2
El Dorado,5/17/20,1,3,4,199,1,1,11
Tehama,5/17/20,0,0,0,106,0,0,3
Sutter,5/17/20,0,0,0,14,0,0,
Trinity,5/17/20,0,0,0,54,0,0,
San Luis Obispo,5/17/20,1,4,5,526,1,1,21
Imperial,5/17/20,68,3,71,268,18,0,5
Tulare,5/17/20,40,1,41,881,10,0,14
Yolo,5/17/20,0,0,0,186,1,1,1
Colusa,5/17/20,0,0,0,88,0,0,6
Lassen,5/17/20,0,0,0,25,0,0,
Del Norte,5/17/20,0,0,0,51,0,0,3
San Benito,5/17/20,1,0,1,25,1,0,1
Mariposa,5/17/20,0,1,1,30,0,0,
Sacramento,5/17/20,15,41,56,2350,6,8,107
Plumas,5/17/20,0,0,0,45,0,0,
Santa Clara,5/17/20,44,38,82,3318,19,6,192
Mendocino,5/17/20,1,0,1,180,1,0,4
Sonoma,5/17/20,5,26,31,871,3,0,55
San Bernardino,5/17/20,129,81,210,4821,52,15,184
San Mateo,5/17/20,32,23,55,1096,9,6,40
Shasta,5/17/20,0,0,0,667,1,0,6
San Diego,5/17/20,321,59,380,6131,140,10,364
Kern,5/17/20,36,12,48,1743,17,1,71
Humboldt,5/17/20,4,1,5,352,1,0,6
Contra Costa,5/17/20,16,39,55,1628,9,9,110
Solano,5/17/20,17,30,47,707,9,1,46
Orange,5/17/20,267,88,355,7007,117,18,341
Siskiyou,5/17/20,0,1,1,65,0,1,3
Riverside,5/17/20,186,91,277,3945,68,18,187
Marin,5/17/20,1,11,12,390,0,0,15
Alameda,5/17/20,74,72,146,2446,38,15,125
San Francisco,5/17/20,40,31,71,2619,18,5,101
Modoc,5/17/20,1,0,1,41,0,0,
Napa,5/17/20,1,2,3,387,1,0,6
Madera,5/17/20,0,0,0,528,0,0,53
Santa Barbara,5/17/20,25,6,31,717,12,4,62
Stanislaus,5/17/20,20,21,41,1369,1,2,85
Santa Cruz,5/17/20,1,0,1,397,0,0,15
Amador,5/17/20,0,0,0,51,0,0,1
Yuba,5/17/20,1,0,1,445,0,0,10
Glenn,5/17/20,0,0,0,,0,0,
Kings,5/17/20,21,4,25,199,4,1,5
Inyo,5/17/20,0,0,0,42,0,0,4
Calaveras,5/17/20,0,0,0,50,0,0,11
Butte,5/17/20,2,0,2,448,1,0,22
Ventura,5/17/20,31,13,44,1314,11,2,45
Placer,5/17/20,2,25,27,753,0,7,38
Monterey,5/17/20,8,2,10,811,4,0,102
Nevada,5/17/20,0,0,0,117,0,1,7
Tuolumne,5/17/20,0,0,0,151,0,0,3
Fresno,5/17/20,60,46,106,2133,18,10,94
Lake,5/17/20,0,0,0,110,0,0,1
Los Angeles,5/17/20,1549,558,2107,23854,478,97,1233
San Joaquin,5/17/20,10,18,28,1366,1,9,21
Tuolumne,5/18/20,0,0,0,151,0,0,1
Riverside,5/18/20,195,86,281,3994,68,18,210
Kings,5/18/20,21,4,25,199,5,1,2
Sutter,5/18/20,0,0,0,14,0,0,
Sonoma,5/18/20,3,20,23,871,2,2,53
San Diego,5/18/20,329,49,378,6040,139,10,341
Trinity,5/18/20,0,0,0,54,0,0,
Orange,5/18/20,263,78,341,7007,111,12,387
Marin,5/18/20,4,8,12,390,0,3,17
Monterey,5/18/20,8,1,9,811,4,0,106
Santa Clara,5/18/20,46,33,79,3318,17,5,201
Alameda,5/18/20,87,51,138,2968,42,10,120
San Francisco,5/18/20,46,33,79,2619,22,9,115
Solano,5/18/20,16,27,43,707,9,2,42
Mendocino,5/18/20,1,0,1,180,1,0,4
Stanislaus,5/18/20,18,20,38,1369,1,1,77
Tulare,5/18/20,35,1,36,920,9,1,29
Mono,5/18/20,0,0,0,17,0,0,2
Amador,5/18/20,0,1,1,51,0,1,4
Yolo,5/18/20,0,0,0,186,0,0,3
Lassen,5/18/20,0,1,1,25,0,0,
Colusa,5/18/20,0,1,1,88,0,1,5
Calaveras,5/18/20,0,0,0,50,0,0,11
Modoc,5/18/20,0,1,1,41,0,0,
Mariposa,5/18/20,0,2,2,30,0,0,
Imperial,5/18/20,73,1,74,187,17,0,11
Lake,5/18/20,0,2,2,110,0,0,3
San Benito,5/18/20,1,0,1,25,1,0,1
Los Angeles,5/18/20,1531,520,2051,23910,483,87,1221
Napa,5/18/20,1,0,1,387,1,1,10
Sacramento,5/18/20,13,58,71,2367,4,14,113
San Bernardino,5/18/20,140,81,221,4821,52,14,197
Plumas,5/18/20,0,0,0,45,0,0,
Butte,5/18/20,2,1,3,448,1,0,22
Fresno,5/18/20,61,44,105,2135,15,4,99
Kern,5/18/20,36,12,48,1704,18,0,72
Siskiyou,5/18/20,0,0,0,65,0,0,4
Ventura,5/18/20,33,16,49,1307,15,3,39
Glenn,5/18/20,0,0,0,,0,0,
El Dorado,5/18/20,1,3,4,199,1,1,13
San Luis Obispo,5/18/20,1,2,3,526,1,1,22
Placer,5/18/20,1,34,35,753,0,4,40
San Mateo,5/18/20,41,19,60,1096,10,5,41
Madera,5/18/20,0,2,2,528,0,0,4
Merced,5/18/20,6,0,6,242,5,0,7
Santa Barbara,5/18/20,25,2,27,717,11,3,70
San Joaquin,5/18/20,9,23,32,1366,1,8,31
Humboldt,5/18/20,4,1,5,352,1,0,3
Contra Costa,5/18/20,19,51,70,1628,9,10,122
Tehama,5/18/20,0,1,1,106,0,0,3
Del Norte,5/18/20,0,0,0,51,0,0,2
Santa Cruz,5/18/20,2,0,2,397,0,0,15
Yuba,5/18/20,1,0,1,445,0,0,13
Shasta,5/18/20,0,0,0,667,0,0,5
Nevada,5/18/20,0,0,0,107,0,0,8
Inyo,5/18/20,0,0,0,42,0,0,4
Humboldt,5/19/20,4,3,7,352,1,0,6
Contra Costa,5/19/20,14,74,88,1628,9,8,117
Mendocino,5/19/20,1,0,1,180,1,0,6
Tulare,5/19/20,37,5,42,920,9,2,22
Amador,5/19/20,0,0,0,51,0,0,3
Plumas,5/19/20,0,0,0,45,0,0,
Mono,5/19/20,0,0,0,17,0,0,2
Santa Clara,5/19/20,43,57,100,3318,16,6,195
Siskiyou,5/19/20,0,0,0,65,0,0,3
Colusa,5/19/20,0,1,1,88,0,1,5
Alameda,5/19/20,83,108,191,2968,40,16,122
Orange,5/19/20,269,97,366,7007,116,19,352
Shasta,5/19/20,0,0,0,667,0,0,4
Riverside,5/19/20,189,103,292,3999,69,31,191
Lake,5/19/20,0,1,1,110,0,1,1
Inyo,5/19/20,0,0,0,42,0,0,4
Madera,5/19/20,0,1,1,528,0,0,23
Los Angeles,5/19/20,1517,619,2136,23675,466,94,1216
Marin,5/19/20,4,20,24,390,0,2,14
Glenn,5/19/20,0,0,0,,0,0,
Modoc,5/19/20,0,1,1,41,0,0,
Solano,5/19/20,18,29,47,707,9,3,42
Sacramento,5/19/20,11,90,101,2392,4,12,115
Kern,5/19/20,42,11,53,1735,20,1,72
San Benito,5/19/20,1,0,1,25,1,0,1
Sonoma,5/19/20,4,24,28,871,2,2,54
San Joaquin,5/19/20,7,26,33,1366,2,10,27
Kings,5/19/20,23,1,24,199,5,1,0
San Francisco,5/19/20,48,26,74,2619,18,2,114
Tehama,5/19/20,0,0,0,106,0,0,6
Nevada,5/19/20,0,0,0,113,0,0,9
Monterey,5/19/20,11,0,11,811,4,0,102
Yolo,5/19/20,0,0,0,186,0,0,4
San Mateo,5/19/20,41,30,71,1096,10,5,26
Lassen,5/19/20,0,1,1,25,0,0,
Yuba,5/19/20,1,0,1,445,0,0,10
Calaveras,5/19/20,0,0,0,50,0,0,11
Sutter,5/19/20,0,0,0,14,0,0,
El Dorado,5/19/20,0,2,2,199,0,2,10
Ventura,5/19/20,33,27,60,1336,12,7,41
San Luis Obispo,5/19/20,2,1,3,526,1,1,20
San Bernardino,5/19/20,134,76,210,4821,55,20,206
Tuolumne,5/19/20,0,0,0,151,0,0,1
Napa,5/19/20,1,0,1,387,1,1,14
Mariposa,5/19/20,0,3,3,30,0,0,
Trinity,5/19/20,0,0,0,54,0,0,
Santa Barbara,5/19/20,23,5,28,717,11,2,61
Imperial,5/19/20,74,4,78,200,19,0,10
Del Norte,5/19/20,0,0,0,51,0,0,1
Placer,5/19/20,3,45,48,753,0,6,38
Merced,5/19/20,7,1,8,242,4,0,2
Fresno,5/19/20,64,43,107,2138,17,7,88
Santa Cruz,5/19/20,1,0,1,397,0,0,13
Stanislaus,5/19/20,17,31,48,1369,3,2,87
Butte,5/19/20,1,0,1,448,1,0,23
San Diego,5/19/20,319,68,387,6142,142,13,311
San Diego,5/20/20,335,69,404,6207,140,10,322
Santa Clara,5/20/20,40,56,96,3318,16,5,170
Shasta,5/20/20,0,0,0,667,0,0,6
Butte,5/20/20,4,1,5,448,2,0,20
Stanislaus,5/20/20,18,30,48,1369,3,5,80
Alameda,5/20/20,81,134,215,2968,39,24,112
Napa,5/20/20,1,0,1,387,1,1,6
Riverside,5/20/20,183,107,290,4010,67,28,144
Sacramento,5/20/20,11,92,103,2378,3,14,106
San Joaquin,5/20/20,9,29,38,1366,3,6,27
El Dorado,5/20/20,0,2,2,199,0,2,7
Calaveras,5/20/20,0,0,0,50,0,0,10
Lassen,5/20/20,0,1,1,25,0,0,
Mendocino,5/20/20,1,0,1,180,1,0,7
Solano,5/20/20,18,37,55,707,9,2,44
Imperial,5/20/20,80,3,83,214,22,0,8
Siskiyou,5/20/20,0,0,0,65,0,0,4
San Benito,5/20/20,1,0,1,25,1,0,0
Merced,5/20/20,8,1,9,242,4,0,1
Tehama,5/20/20,0,0,0,106,0,0,7
Kings,5/20/20,22,4,26,199,5,0,5
Yolo,5/20/20,0,0,0,186,0,0,7
Lake,5/20/20,0,2,2,110,0,0,3
Del Norte,5/20/20,0,0,0,51,0,0,0
Mariposa,5/20/20,0,2,2,30,0,0,
Trinity,5/20/20,0,0,0,54,0,0,
Tulare,5/20/20,42,3,45,920,9,3,21
Nevada,5/20/20,0,0,0,116,0,0,9
Sutter,5/20/20,0,0,0,14,0,0,
San Francisco,5/20/20,47,32,79,2619,20,7,113
Orange,5/20/20,275,113,388,7007,120,10,382
San Mateo,5/20/20,37,37,74,1096,11,6,25
Fresno,5/20/20,56,41,97,2140,14,4,97
Madera,5/20/20,0,4,4,528,0,0,21
Plumas,5/20/20,0,0,0,45,0,0,
Glenn,5/20/20,0,0,0,,0,0,
Humboldt,5/20/20,4,8,12,352,1,1,4
Yuba,5/20/20,1,0,1,445,0,0,11
Marin,5/20/20,4,25,29,390,0,0,20
Ventura,5/20/20,36,26,62,1339,12,9,39
Los Angeles,5/20/20,1506,561,2067,23670,452,87,1253
Sonoma,5/20/20,2,34,36,871,2,2,52
Santa Barbara,5/20/20,23,4,27,717,11,1,60
San Bernardino,5/20/20,127,89,216,4821,51,14,213
Contra Costa,5/20/20,9,73,82,1628,6,9,128
Kern,5/20/20,48,8,56,1735,21,2,66
Tuolumne,5/20/20,0,0,0,151,0,0,4
San Luis Obispo,5/20/20,2,6,8,526,1,2,21
Inyo,5/20/20,0,0,0,42,0,0,2
Placer,5/20/20,4,52,56,753,0,5,45
Mono,5/20/20,0,0,0,17,0,0,2
Amador,5/20/20,0,0,0,51,0,0,2
Monterey,5/20/20,10,0,10,811,4,0,103
Modoc,5/20/20,0,1,1,41,0,0,
Santa Cruz,5/20/20,3,0,3,397,0,0,16
Colusa,5/20/20,0,0,0,88,0,0,6
Trinity,5/21/20,0,0,0,54,0,0,
Tuolumne,5/21/20,0,0,0,151,0,0,2
Mono,5/21/20,0,0,0,17,0,0,2
Madera,5/21/20,0,0,0,528,0,0,18
Yolo,5/21/20,0,3,3,186,0,1,5
San Bernardino,5/21/20,131,93,224,4821,47,16,225
Butte,5/21/20,8,1,9,448,2,1,17
Yuba,5/21/20,1,0,1,445,0,0,8
Riverside,5/21/20,194,91,285,4020,64,18,129
Orange,5/21/20,262,102,364,6993,119,11,401
Calaveras,5/21/20,0,1,1,50,0,1,9
Alameda,5/21/20,77,162,239,2968,39,23,114
Mariposa,5/21/20,0,0,0,30,0,0,
Sacramento,5/21/20,7,100,107,2409,4,14,108
Glenn,5/21/20,0,0,0,,0,0,
Kings,5/21/20,21,4,25,199,5,1,2
San Diego,5/21/20,325,53,378,6180,139,6,313
Tehama,5/21/20,0,0,0,106,0,0,8
Santa Barbara,5/21/20,24,6,30,717,9,1,58
Santa Clara,5/21/20,39,60,99,3318,16,8,167
San Francisco,5/21/20,43,37,80,2619,16,11,103
Contra Costa,5/21/20,8,75,83,1628,6,11,118
Solano,5/21/20,18,35,53,707,7,6,45
Santa Cruz,5/21/20,4,1,5,397,1,0,14
Amador,5/21/20,0,0,0,51,0,0,1
Mendocino,5/21/20,1,0,1,180,1,0,7
Kern,5/21/20,44,10,54,1728,20,0,73
Plumas,5/21/20,0,0,0,45,0,0,
Los Angeles,5/21/20,1491,614,2105,23620,461,95,1199
Placer,5/21/20,7,59,66,753,2,7,35
Del Norte,5/21/20,0,0,0,51,0,0,1
San Joaquin,5/21/20,8,23,31,1366,5,8,28
San Mateo,5/21/20,37,33,70,1096,10,4,26
Stanislaus,5/21/20,22,30,52,1369,3,5,82
Marin,5/21/20,4,29,33,390,0,0,18
Fresno,5/21/20,61,57,118,2144,16,4,99
San Benito,5/21/20,1,0,1,25,1,0,0
Colusa,5/21/20,0,0,0,88,0,0,6
Sutter,5/21/20,0,0,0,14,0,0,
Humboldt,5/21/20,4,12,16,352,1,2,5
Tulare,5/21/20,39,1,40,920,8,1,9
El Dorado,5/21/20,0,2,2,199,1,1,6
Ventura,5/21/20,30,19,49,1329,12,3,44
Napa,5/21/20,1,0,1,387,1,1,0
Shasta,5/21/20,0,0,0,667,0,0,5
Sonoma,5/21/20,4,31,35,871,3,5,49
Merced,5/21/20,6,0,6,242,4,0,3
Lake,5/21/20,0,0,0,110,0,0,3
Inyo,5/21/20,0,0,0,42,0,0,2
Nevada,5/21/20,0,0,0,112,0,0,6
San Luis Obispo,5/21/20,2,5,7,473,1,2,20
Lassen,5/21/20,0,1,1,25,0,0,
Modoc,5/21/20,0,1,1,41,0,0,
Monterey,5/21/20,8,1,9,811,4,0,103
Siskiyou,5/21/20,0,0,0,65,0,0,4
Imperial,5/21/20,75,3,78,210,22,0,10
Marin,5/22/20,3,3,6,390,1,1,15
Sutter,5/22/20,0,0,0,14,0,0,
Amador,5/22/20,0,1,1,51,0,0,1
Solano,5/22/20,18,16,34,707,6,1,45
El Dorado,5/22/20,0,4,4,199,1,2,8
Lake,5/22/20,0,2,2,110,0,0,3
Sonoma,5/22/20,5,16,21,871,3,2,47
Ventura,5/22/20,29,35,64,1345,12,5,42
San Diego,5/22/20,331,50,381,6221,145,10,333
Mariposa,5/22/20,0,0,0,30,0,0,
Fresno,5/22/20,64,30,94,2135,20,6,89
Lassen,5/22/20,0,1,1,25,0,0,
Sacramento,5/22/20,10,13,23,2400,2,2,106
Monterey,5/22/20,9,1,10,811,3,1,104
Napa,5/22/20,1,7,8,387,1,0,0
Tulare,5/22/20,38,1,39,881,9,1,31
San Benito,5/22/20,1,0,1,25,0,0,1
Los Angeles,5/22/20,1490,565,2055,23628,470,102,1187
Kern,5/22/20,45,8,53,1761,20,0,64
Mono,5/22/20,0,0,0,17,0,0,2
Imperial,5/22/20,75,2,77,210,23,0,9
San Luis Obispo,5/22/20,2,1,3,469,1,1,21
Yuba,5/22/20,1,0,1,445,0,0,4
Colusa,5/22/20,0,0,0,88,0,0,6
Placer,5/22/20,6,20,26,753,3,5,42
Shasta,5/22/20,0,1,1,667,0,0,13
Alameda,5/22/20,79,81,160,2968,38,17,119
Modoc,5/22/20,0,1,1,41,0,0,
San Bernardino,5/22/20,125,101,226,4821,44,11,218
Stanislaus,5/22/20,23,11,34,1374,3,2,81
Tehama,5/22/20,0,0,0,106,0,0,7
Glenn,5/22/20,0,0,0,,0,0,
San Joaquin,5/22/20,9,26,35,1366,5,6,23
Del Norte,5/22/20,0,0,0,51,0,0,4
Santa Barbara,5/22/20,20,4,24,717,7,2,60
San Francisco,5/22/20,43,29,72,2619,18,11,84
Tuolumne,5/22/20,0,0,0,151,0,0,2
Merced,5/22/20,6,1,7,242,4,0,4
Calaveras,5/22/20,0,0,0,50,0,0,9
Nevada,5/22/20,0,0,0,119,0,0,8
Madera,5/22/20,1,0,1,528,0,0,21
Inyo,5/22/20,0,0,0,42,0,0,3
Trinity,5/22/20,0,0,0,54,0,0,
Santa Clara,5/22/20,36,19,55,3318,18,2,170
Humboldt,5/22/20,4,13,17,352,1,1,3
Kings,5/22/20,23,5,28,199,7,1,4
Siskiyou,5/22/20,0,2,2,65,0,1,5
Mendocino,5/22/20,1,0,1,180,1,0,6
Yolo,5/22/20,0,0,0,186,0,0,7
Riverside,5/22/20,195,115,310,4029,64,16,130
Contra Costa,5/22/20,11,30,41,1628,5,6,113
San Mateo,5/22/20,40,12,52,1096,14,0,40
Orange,5/22/20,269,89,358,6993,127,18,397
Santa Cruz,5/22/20,4,1,5,397,1,0,11
Butte,5/22/20,7,1,8,448,2,0,17
Plumas,5/22/20,0,0,0,45,0,0,
Ventura,5/23/20,29,25,54,1318,11,1,39
Stanislaus,5/23/20,23,15,38,1369,6,2,87
Alameda,5/23/20,80,78,158,2968,41,19,110
San Luis Obispo,5/23/20,2,0,2,462,1,0,27
San Mateo,5/23/20,39,11,50,1096,16,0,42
Mono,5/23/20,0,0,0,17,0,0,2
Yuba,5/23/20,1,0,1,445,0,0,9
Tuolumne,5/23/20,0,0,0,151,0,0,1
Colusa,5/23/20,0,0,0,88,0,0,6
Merced,5/23/20,7,4,11,242,5,1,4
El Dorado,5/23/20,1,5,6,199,1,5,3
Yolo,5/23/20,0,0,0,186,1,1,0
Lake,5/23/20,0,1,1,110,0,1,2
Sacramento,5/23/20,12,12,24,2388,3,0,101
Riverside,5/23/20,193,95,288,3971,59,20,142
Fresno,5/23/20,66,37,103,2137,21,6,85
Los Angeles,5/23/20,1440,566,2006,23605,462,104,1257
Marin,5/23/20,2,4,6,390,1,2,15
Kern,5/23/20,48,10,58,1727,22,2,78
San Joaquin,5/23/20,10,21,31,1366,5,8,21
Modoc,5/23/20,0,1,1,41,0,0,
Mendocino,5/23/20,3,2,5,180,0,0,7
Santa Cruz,5/23/20,4,1,5,397,1,0,10
Santa Clara,5/23/20,37,17,54,3318,18,1,178
Kings,5/23/20,25,3,28,199,7,1,4
Contra Costa,5/23/20,14,34,48,1628,6,6,100
Sonoma,5/23/20,5,17,22,871,3,2,49
Amador,5/23/20,0,0,0,51,0,0,2
Madera,5/23/20,0,0,0,528,0,0,21
Imperial,5/23/20,75,2,77,210,23,0,9
Lassen,5/23/20,0,0,0,25,0,0,
Siskiyou,5/23/20,0,2,2,65,0,1,5
Monterey,5/23/20,7,1,8,811,3,1,104
Santa Barbara,5/23/20,21,3,24,717,8,1,66
Sutter,5/23/20,0,0,0,14,0,0,
Del Norte,5/23/20,0,0,0,51,0,0,0
Inyo,5/23/20,0,0,0,42,0,0,4
Napa,5/23/20,1,1,2,387,1,0,2
Trinity,5/23/20,0,0,0,54,0,0,
Orange,5/23/20,278,94,372,6993,122,13,407
San Francisco,5/23/20,45,28,73,2619,18,9,83
Tehama,5/23/20,0,0,0,106,0,0,6
Solano,5/23/20,18,14,32,707,6,0,43
San Benito,5/23/20,1,0,1,25,0,0,2
Nevada,5/23/20,0,0,0,120,0,1,4
Tulare,5/23/20,40,1,41,920,9,1,13
Plumas,5/23/20,0,0,0,45,0,0,
Mariposa,5/23/20,0,0,0,30,0,0,
Shasta,5/23/20,0,1,1,667,0,0,13
Glenn,5/23/20,0,0,0,,0,0,
San Diego,5/23/20,304,82,386,6224,138,14,323
San Bernardino,5/23/20,134,100,234,4821,47,15,207
Butte,5/23/20,5,0,5,448,2,0,20
Humboldt,5/23/20,4,13,17,352,1,1,3
Calaveras,5/23/20,0,0,0,50,0,0,9
Placer,5/23/20,6,19,25,753,3,5,42
San Diego,5/24/20,310,60,370,6189,139,11,321
Orange,5/24/20,286,102,388,6993,117,14,404
Riverside,5/24/20,188,80,268,3944,60,18,150
Mendocino,5/24/20,3,2,5,180,0,0,7
Los Angeles,5/24/20,1443,547,1990,23608,448,101,1227
Solano,5/24/20,18,19,37,707,8,0,46
Modoc,5/24/20,0,1,1,41,0,0,
Kern,5/24/20,53,4,57,1712,23,1,84
Shasta,5/24/20,0,0,0,667,0,0,15
Amador,5/24/20,0,0,0,51,0,0,0
Mariposa,5/24/20,0,0,0,30,0,0,
Madera,5/24/20,0,1,1,528,0,1,22
Imperial,5/24/20,77,4,81,210,23,0,9
Butte,5/24/20,5,0,5,448,2,0,20
Calaveras,5/24/20,0,1,1,50,0,0,10
Humboldt,5/24/20,4,3,7,352,1,0,5
El Dorado,5/24/20,1,4,5,199,1,4,4
Tulare,5/24/20,42,2,44,920,10,1,13
Placer,5/24/20,5,21,26,753,3,6,39
Lassen,5/24/20,0,0,0,25,0,0,
Santa Barbara,5/24/20,21,6,27,717,8,0,71
Trinity,5/24/20,0,0,0,54,0,0,
San Benito,5/24/20,1,0,1,25,0,0,0
Napa,5/24/20,1,0,1,387,1,0,2
San Luis Obispo,5/24/20,2,1,3,461,1,0,28
Plumas,5/24/20,0,0,0,45,0,0,
Yolo,5/24/20,0,0,0,186,0,0,0
Santa Cruz,5/24/20,4,1,5,397,1,0,14
Siskiyou,5/24/20,0,2,2,65,0,1,5
San Mateo,5/24/20,39,13,52,1096,16,0,43
Yuba,5/24/20,1,0,1,445,0,0,13
Colusa,5/24/20,0,0,0,88,0,0,6
Sacramento,5/24/20,9,17,26,2363,2,4,110
San Bernardino,5/24/20,139,103,242,4821,48,22,196
Contra Costa,5/24/20,15,27,42,1628,6,5,102
Tuolumne,5/24/20,0,0,0,151,0,0,1
Alameda,5/24/20,88,61,149,2968,44,11,119
Ventura,5/24/20,32,36,68,1331,13,5,46
Marin,5/24/20,2,4,6,390,1,2,13
Stanislaus,5/24/20,22,15,37,1369,6,1,85
San Francisco,5/24/20,47,41,88,2619,20,10,97
Santa Clara,5/24/20,35,19,54,3318,16,2,195
Glenn,5/24/20,0,0,0,,0,0,
San Joaquin,5/24/20,11,25,36,1366,6,5,17
Monterey,5/24/20,7,1,8,811,3,1,106
Tehama,5/24/20,0,0,0,106,0,0,6
Sonoma,5/24/20,6,16,22,871,3,3,50
Nevada,5/24/20,0,0,0,121,0,2,1
Fresno,5/24/20,66,40,106,2128,19,4,91
Kings,5/24/20,25,3,28,199,8,2,7
Mono,5/24/20,0,0,0,17,0,0,2
Lake,5/24/20,0,4,4,110,0,2,0
Inyo,5/24/20,0,0,0,42,0,0,4
Del Norte,5/24/20,0,0,0,51,0,0,2
Merced,5/24/20,7,5,12,242,5,0,5
Sutter,5/24/20,0,0,0,14,0,0,
San Mateo,5/25/20,44,13,57,1096,15,5,46
Plumas,5/25/20,0,0,0,45,0,0,
San Bernardino,5/25/20,138,116,254,4821,48,23,245
Kern,5/25/20,51,8,59,1707,25,1,77
Sutter,5/25/20,0,0,0,14,0,0,
Butte,5/25/20,7,0,7,448,3,0,19
Stanislaus,5/25/20,18,11,29,1369,6,4,79
Merced,5/25/20,6,4,10,242,4,1,10
San Francisco,5/25/20,40,41,81,2619,21,11,100
Modoc,5/25/20,0,1,1,41,0,0,
Ventura,5/25/20,33,30,63,1337,10,4,46
Yolo,5/25/20,1,0,1,186,0,0,4
San Benito,5/25/20,1,0,1,25,0,0,0
Marin,5/25/20,3,4,7,390,1,6,9
Solano,5/25/20,21,20,41,707,11,4,44
Inyo,5/25/20,0,0,0,42,0,0,4
San Diego,5/25/20,317,68,385,6158,139,21,385
Mendocino,5/25/20,2,0,2,180,1,0,5
Sacramento,5/25/20,9,17,26,2381,2,29,116
Siskiyou,5/25/20,0,2,2,65,0,1,5
Yuba,5/25/20,1,0,1,445,0,0,11
San Joaquin,5/25/20,12,24,36,1366,6,4,22
Santa Barbara,5/25/20,19,8,27,717,8,0,70
Santa Clara,5/25/20,32,20,52,3318,14,12,204
Imperial,5/25/20,69,6,75,210,23,0,9
Sonoma,5/25/20,5,22,27,871,3,6,46
Trinity,5/25/20,0,0,0,54,0,0,
Alameda,5/25/20,91,65,156,2968,40,20,115
Colusa,5/25/20,0,0,0,88,0,0,6
Del Norte,5/25/20,0,1,1,51,0,0,3
Lake,5/25/20,0,1,1,110,0,0,2
Mariposa,5/25/20,0,1,1,30,0,0,
Tulare,5/25/20,40,2,42,920,13,2,22
San Luis Obispo,5/25/20,2,0,2,448,1,0,26
El Dorado,5/25/20,1,3,4,199,1,3,11
Calaveras,5/25/20,0,1,1,50,0,0,10
Nevada,5/25/20,0,0,0,120,0,1,6
Madera,5/25/20,1,1,2,528,0,0,24
Napa,5/25/20,1,0,1,387,1,0,4
Tehama,5/25/20,0,0,0,106,0,0,3
Lassen,5/25/20,0,0,0,25,0,0,
Glenn,5/25/20,0,0,0,,0,0,
Kings,5/25/20,26,3,29,199,8,2,3
Riverside,5/25/20,193,88,281,3959,63,15,159
Contra Costa,5/25/20,13,35,48,1628,6,13,103
Tuolumne,5/25/20,0,0,0,151,0,0,2
Santa Cruz,5/25/20,4,3,7,397,1,0,15
Fresno,5/25/20,66,38,104,2128,19,1,92
Amador,5/25/20,0,0,0,51,0,0,1
Placer,5/25/20,5,20,25,753,3,6,47
Los Angeles,5/25/20,1477,564,2041,23620,465,94,1453
Humboldt,5/25/20,6,4,10,352,1,0,4
Shasta,5/25/20,0,0,0,667,0,0,16
Orange,5/25/20,300,94,394,6993,119,19,441
Mono,5/25/20,0,0,0,17,0,0,2
Monterey,5/25/20,10,0,10,811,3,0,106
San Bernardino,5/26/20,154,125,279,4821,57,19,237
Butte,5/26/20,5,0,5,448,3,0,20
Inyo,5/26/20,0,0,0,42,0,0,4
Trinity,5/26/20,0,3,3,54,0,0,
Mariposa,5/26/20,0,2,2,30,0,0,
Mono,5/26/20,0,0,0,17,0,0,2
San Joaquin,5/26/20,14,29,43,1366,6,8,24
Alameda,5/26/20,93,76,169,2968,37,20,124
